City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saskylakh,RU,71.9167,114.0833,-6.83,96,100,10.63,overcast clouds
1,Namtsy,RU,62.7161,129.6658,-20.85,99,13,4.74,few clouds
2,Big Spring,US,32.2504,-101.4787,48.24,38,0,19.57,clear sky
3,Punta Arenas,CL,-53.15,-70.9167,60.91,36,0,18.41,clear sky
4,Pangnirtung,CA,66.1451,-65.7125,10.4,72,100,4.61,overcast clouds
5,Leningradskiy,RU,69.3833,178.4167,-6.05,98,99,4.54,overcast clouds
6,Olga,RU,43.7444,135.2892,25.07,85,5,6.71,clear sky
7,Port Hardy,CA,50.6996,-127.4199,41.18,100,100,0.0,overcast clouds
8,Kavaratti,IN,10.5669,72.642,80.37,77,100,2.77,overcast clouds
9,Camacha,PT,33.0833,-16.3333,71.02,64,20,5.75,few clouds
10,Georgetown,MY,5.4112,100.3354,80.24,92,40,5.01,moderate rain
11,Tasiilaq,GL,65.6145,-37.6368,35.73,60,100,26.11,overcast clouds
12,Arona,ES,28.0996,-16.681,73.98,43,40,4.61,scattered clouds
13,Nanortalik,GL,60.1432,-45.2371,38.55,76,100,21.92,light rain
14,Torbay,CA,47.6666,-52.7314,38.75,92,100,5.01,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,74.52,89,88,17.13,overcast clouds
16,Marawi,PH,7.9986,124.2928,69.01,94,72,1.54,broken clouds
17,Jibuti,DJ,11.5,42.5,75.87,63,0,13.73,clear sky
18,Puerto Ayora,EC,-0.7393,-90.3518,70.56,82,89,5.01,overcast clouds
19,Bengkulu,ID,-3.8004,102.2655,73.81,96,100,2.62,moderate rain
20,New Norfolk,AU,-42.7826,147.0587,53.1,90,100,1.77,light rain
21,Abnub,EG,27.2696,31.1511,73.74,34,0,9.48,clear sky
22,Atuona,PF,-9.8,-139.0333,77.9,69,3,18.84,clear sky
23,Hermanus,ZA,-34.4187,19.2345,68.81,73,0,8.75,clear sky
24,Nazilli,TR,37.9163,28.3223,61.41,36,61,3.44,broken clouds
25,Prince Rupert,CA,54.3161,-130.3201,44.29,87,100,19.57,overcast clouds
26,Vaini,TO,-21.2,-175.2,75.92,87,100,20.58,moderate rain
27,Faanui,PF,-16.4833,-151.75,71.65,87,100,3.04,moderate rain
28,Hobart,AU,-42.8794,147.3294,53.46,97,100,0.0,light rain
29,Markova,UA,48.6758,24.4138,43.93,89,4,0.69,clear sky
30,Reconquista,AR,-29.15,-59.65,74.93,72,97,7.31,overcast clouds
31,Padang,ID,-0.9492,100.3543,75.25,90,100,2.35,moderate rain
32,Kimbe,PG,-5.5502,150.1429,76.06,93,97,2.84,overcast clouds
33,Mahebourg,MU,-20.4081,57.7,75.49,69,20,3.44,few clouds
34,Kirakira,SB,-10.4544,161.9205,78.53,84,58,3.02,broken clouds
35,Butaritari,KI,3.0707,172.7902,79.3,75,100,11.01,overcast clouds
36,Cape Town,ZA,-33.9258,18.4232,72.27,54,20,14.97,few clouds
37,Yerofey Pavlovich,RU,53.9667,121.9667,8.87,98,100,2.08,overcast clouds
38,East London,ZA,-33.0153,27.9116,67.98,65,8,18.25,clear sky
39,Salalah,OM,17.0151,54.0924,79.05,65,0,3.13,clear sky
40,Cherskiy,RU,68.75,161.3,-23.96,97,85,4.88,overcast clouds
41,Chacabuco,AR,-34.6417,-60.4739,79.32,49,100,10.54,heavy intensity rain
42,Jamestown,US,42.097,-79.2353,38.79,78,100,13.8,overcast clouds
43,Usinsk,RU,65.9939,57.5281,10.22,95,100,8.77,light snow
44,Ushuaia,AR,-54.8,-68.3,59.11,39,50,6.49,scattered clouds
45,Kapaa,US,22.0752,-159.319,73.72,80,40,17.27,scattered clouds
46,Ponta Do Sol,PT,32.6667,-17.1,75.7,80,64,1.66,broken clouds
47,Sri Aman,MY,1.2376,111.4621,74.86,99,100,1.59,overcast clouds
48,Bambous Virieux,MU,-20.3428,57.7575,75.45,69,20,3.44,few clouds
49,Castro,BR,-24.7911,-50.0119,80.38,49,51,12.01,light rain
50,Yerbogachen,RU,61.2767,108.0108,-8.95,88,100,7.25,overcast clouds
51,Carutapera,BR,-1.195,-46.02,84.88,66,67,9.26,broken clouds
52,Talnakh,RU,69.4865,88.3972,-23.37,84,73,5.12,broken clouds
53,Lagoa,PT,39.05,-27.9833,61.34,71,100,18.54,overcast clouds
54,Khatanga,RU,71.9667,102.5,-23.93,99,100,7.14,overcast clouds
55,Manadhoo,MV,5.7667,73.3833,81.88,74,61,8.08,broken clouds
56,Volodarka,UA,49.5248,29.9122,47.68,87,25,7.9,scattered clouds
57,Meulaboh,ID,4.1363,96.1285,74.19,96,100,3.91,light rain
58,Fairbanks,US,64.8378,-147.7164,19.09,92,100,2.55,overcast clouds
59,Trinidad,BO,-14.8333,-64.9,94.95,39,67,12.48,broken clouds
