City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mamontovo,RU,2022-11-11 23:25:24,52.7055,81.6244,29.16,94,100,16.2
1,Chumikan,RU,2022-11-11 23:25:25,54.7183,135.315,13.91,88,73,19.24
2,Okhotsk,RU,2022-11-11 23:25:25,59.3833,143.3,3.99,74,10,14.56
3,Honiara,SB,2022-11-11 23:25:26,-9.4333,159.95,77.65,95,98,8.46
4,Stromness,GB,2022-11-11 23:24:04,58.965,-3.296,51.87,84,67,15.01
5,Hobyo,SO,2022-11-11 23:25:26,5.3505,48.5268,80.83,75,25,10.71
6,Vao,NC,2022-11-11 23:25:26,-22.6667,167.4833,73.8,78,99,18.19
7,Hobart,AU,2022-11-11 23:16:39,-42.8794,147.3294,57.25,66,75,11.5
8,Qaanaaq,GL,2022-11-11 23:17:00,77.484,-69.3632,-4.23,63,0,7.14
9,Kuching,MY,2022-11-11 23:25:27,1.55,110.3333,75.42,100,20,1.01
10,Puerto Madero,MX,2022-11-11 23:25:27,14.7208,-92.4215,84.4,74,20,8.05
11,Rikitea,PF,2022-11-11 23:25:28,-23.1203,-134.9692,74.21,88,100,13.47
12,Bluff,NZ,2022-11-11 23:25:28,-46.6,168.3333,58.8,81,100,9.46
13,Mataura,NZ,2022-11-11 23:15:35,-46.1927,168.8643,58.48,56,100,5.64
14,New Norfolk,AU,2022-11-11 23:17:05,-42.7826,147.0587,56.91,54,100,1.99
15,Hamilton,US,2022-11-11 23:16:24,39.1834,-84.5333,57.97,88,100,17.27
16,Jamestown,US,2022-11-11 23:25:28,42.097,-79.2353,61.02,73,100,3.44
17,Severo-Kurilsk,RU,2022-11-11 23:21:55,50.6789,156.125,34.93,64,94,28.52
18,Areosa,PT,2022-11-11 23:25:29,41.7178,-8.8571,57.74,70,0,6.64
19,Pisco,PE,2022-11-11 23:25:04,-13.7,-76.2167,66.25,72,0,19.57
20,Hofn,IS,2022-11-11 23:19:41,64.2539,-15.2082,43.18,86,71,6.46
21,Yellowknife,CA,2022-11-11 23:23:16,62.456,-114.3525,25.32,80,100,26.46
22,Vaini,TO,2022-11-11 23:25:29,-21.2,-175.2,84.36,79,20,8.05
23,Avarua,CK,2022-11-11 23:23:13,-21.2078,-159.775,77.05,65,20,17.27
24,Bambous Virieux,MU,2022-11-11 23:18:12,-20.3428,57.7575,71.85,78,75,3.44
25,Puerto Leguizamo,CO,2022-11-11 23:25:30,-0.1934,-74.7819,75.52,93,55,2.82
26,Chake Chake,TZ,2022-11-11 23:25:30,-5.2459,39.7666,75.38,89,47,3.85
27,Carnarvon,AU,2022-11-11 23:16:55,-24.8667,113.6333,63.84,57,0,22.37
28,Kaitangata,NZ,2022-11-11 23:25:31,-46.2817,169.8464,58.46,61,100,4.74
29,Khatanga,RU,2022-11-11 23:25:31,71.9667,102.5,-27.98,99,72,8.68
30,Castro,BR,2022-11-11 23:18:23,-24.7911,-50.0119,58.57,93,100,4.72
31,Naze,JP,2022-11-11 23:25:31,28.3667,129.4833,72.52,91,98,16.51
32,Cape Town,ZA,2022-11-11 23:23:22,-33.9258,18.4232,62.11,82,0,9.22
33,Lebu,CL,2022-11-11 23:15:33,-37.6167,-73.65,54.91,91,82,14.32
34,Pevek,RU,2022-11-11 23:25:32,69.7008,170.3133,-8.45,100,97,4.83
35,Mar Del Plata,AR,2022-11-11 23:25:32,-38.0023,-57.5575,64.83,92,75,11.5
36,Vredendal,ZA,2022-11-11 23:25:32,-31.6683,18.5012,57.24,95,0,4.32
37,Karratha,AU,2022-11-11 23:25:33,-20.7377,116.8463,75.65,30,1,10.38
38,Mugan,CN,2022-11-11 23:25:33,35.9404,101.3842,30.9,83,100,3.33
39,Kapitanivka,UA,2022-11-11 23:25:35,48.9172,31.7167,41.95,92,2,4.45
40,Gourdon,FR,2022-11-11 23:25:35,44.75,1.5,50.74,92,14,5.61
41,San Patricio,US,2022-11-11 23:25:36,28.017,-97.5169,82.26,70,99,2.71
42,Punta Arenas,CL,2022-11-11 23:22:29,-53.15,-70.9167,48.31,61,0,9.22
43,Opuwo,NA,2022-11-11 23:25:36,-18.0607,13.84,61.59,36,21,6.91
44,Itoman,JP,2022-11-11 23:26:37,26.1247,127.6694,79.18,92,75,13.8
45,Vila Franca Do Campo,PT,2022-11-11 23:21:22,37.7167,-25.4333,58.19,76,100,4.9
46,Katsuura,JP,2022-11-11 23:12:36,35.1333,140.3,59.02,75,23,3.58
47,Tuktoyaktuk,CA,2022-11-11 23:16:53,69.4541,-133.0374,24.8,93,100,11.5
48,Manokwari,ID,2022-11-11 23:26:38,-0.8667,134.0833,77.23,87,100,6.98
49,Saint-Philippe,RE,2022-11-11 23:26:38,-21.3585,55.7679,71.19,81,55,7.96
50,Torbay,CA,2022-11-11 23:26:38,47.6666,-52.7314,36.75,87,100,0.0
